race,candidate,party,votes,race_total,vote_share_pct
22ND STATE SENATE DIST,SUSAN RUBIO,DEM,3890,8150,47.73
22ND STATE SENATE DIST,VINCENT TSAI,REP,2900,8150,35.58
22ND STATE SENATE DIST,KIMO MATEO,REP,1360,8150,16.69
28TH CONGRESS DIST,DOROTHY CARONNA,DEM,0,0,
28TH CONGRESS DIST,GIULIANO DEPAOLIS,NP,0,0,
28TH CONGRESS DIST,JUDY CHU,DEM,0,0,
28TH CONGRESS DIST,WES HALLMAN,REP,0,0,
31ST CONGRESS DIST,DANIEL B MARTINEZ,REP,4133,8294,49.83
31ST CONGRESS DIST,GRACE F NAPOLITANO,DEM,3796,8294,45.77
31ST CONGRESS DIST,ROCCO A DE LUCA,DEM,365,8294,4.4
41ST ASSEMBLY DIST,CHRIS HOLDEN,DEM,4669,4669,100.0
ATTORNEY GENERAL,ROB BONTA,DEM,3614,8351,43.28
ATTORNEY GENERAL,NATHAN HOCHMAN,REP,1957,8351,23.43
ATTORNEY GENERAL,ERIC EARLY,REP,1921,8351,23.0
ATTORNEY GENERAL,ANNE M SCHUBERT,NP,686,8351,8.21
ATTORNEY GENERAL,DAN KAPELOVITZ,GRN,173,8351,2.07
GOVERNOR,GAVIN NEWSOM,DEM,3814,8560,44.56
GOVERNOR,BRIAN DAHLE,REP,1653,8560,19.31
GOVERNOR,JENNY RAE LE ROUX,REP,629,8560,7.35
GOVERNOR,M SHELLENBERGER,NP,590,8560,6.89
GOVERNOR,ANTHONY TRIMINO,REP,525,8560,6.13
GOVERNOR,DAVID LOZANO,REP,247,8560,2.89
GOVERNOR,SHAWN COLLINS,REP,178,8560,2.08
GOVERNOR,RONALD A ANDERSON,REP,146,8560,1.71
GOVERNOR,MAJOR WILLIAMS,REP,140,8560,1.64
GOVERNOR,ROBERT C NEWMAN II,REP,97,8560,1.13
GOVERNOR,LEO S ZACKY,REP,96,8560,1.12
GOVERNOR,LUIS J RODRIGUEZ,GRN,78,8560,0.91
GOVERNOR,JOEL VENTRESCA,DEM,77,8560,0.9
GOVERNOR,RON JONES,REP,70,8560,0.82
GOVERNOR,DANIEL R MERCURI,REP,55,8560,0.64
GOVERNOR,REINETTE SENUM,NP,36,8560,0.42
GOVERNOR,A M PEREZ-SERRATO,DEM,25,8560,0.29
GOVERNOR,CRISTIAN R MORALES,REP,24,8560,0.28
GOVERNOR,W W SANDERS III,NP,23,8560,0.27
GOVERNOR,FREDERIC C SCHULTZ,NP,14,8560,0.16
GOVERNOR,ANTHONY FANARA,DEM,10,8560,0.12
GOVERNOR,LONNIE SORTOR,REP,10,8560,0.12
GOVERNOR,HEATHER COLLINS,GRN,9,8560,0.11
GOVERNOR,JAMES G HANINK,NP,7,8560,0.08
GOVERNOR,BRADLEY ZINK,NP,6,8560,0.07
GOVERNOR,SERGE FIANKAN,NP,1,8560,0.01
LA VERNE CY GEN MUNI-CNC 1,STEVEN F JOHNSON,,877,1645,53.31
LA VERNE CY GEN MUNI-CNC 1,MUIR DAVIS,,768,1645,46.69
LA VERNE CY GEN MUNI-CNC 3,M K KASHIFALGHITA,,1114,2046,54.45
LA VERNE CY GEN MUNI-CNC 3,M JOSEPH GABALDON,,932,2046,45.55
LA VERNE CY GEN MUNI-CNC 4,TIM HEPBURN,,1557,1855,83.94
LA VERNE CY GEN MUNI-CNC 4,E V MALDONADO,,232,1855,12.51
LA VERNE CY GEN MUNI-CNC 4,RICH GILL,,66,1855,3.56
LIEUTENANT GOVERNOR,ELENI KOUNALAKIS,DEM,3353,8290,40.45
LIEUTENANT GOVERNOR,A UNDERWOOD JACOBS,REP,2419,8290,29.18
LIEUTENANT GOVERNOR,DAVID FENNELL,REP,1267,8290,15.28
LIEUTENANT GOVERNOR,CLINT W SAUNDERS,REP,573,8290,6.91
LIEUTENANT GOVERNOR,WILLIAM C SAACKE,DEM,288,8290,3.47
LIEUTENANT GOVERNOR,JEFFREY H MORGAN,DEM,192,8290,2.32
LIEUTENANT GOVERNOR,MOHAMMAD ARIF,PF,131,8290,1.58
LIEUTENANT GOVERNOR,DAVID HILLBERG,NP,67,8290,0.81
SECRETARY OF STATE,SHIRLEY N WEBER,DEM,3806,8186,46.49
SECRETARY OF STATE,ROB BERNOSKY,REP,2269,8186,27.72
SECRETARY OF STATE,RACHEL HAMM,REP,1401,8186,17.11
SECRETARY OF STATE,JAMES PAINE,REP,296,8186,3.62
SECRETARY OF STATE,RAUL RODRIGUEZ JR,REP,175,8186,2.14
SECRETARY OF STATE,GARY N BLENNER,GRN,172,8186,2.1
SECRETARY OF STATE,M D CINQUANTA,NP,67,8186,0.82
SUPERINTENDENT PUBLIC INST,TONY K THURMOND,,3249,7621,42.63
SUPERINTENDENT PUBLIC INST,GEORGE YANG,,1107,7621,14.53
SUPERINTENDENT PUBLIC INST,L R CHRISTENSEN,,1040,7621,13.65
SUPERINTENDENT PUBLIC INST,JIM GIBSON,,969,7621,12.71
SUPERINTENDENT PUBLIC INST,AINYE E LONG,,529,7621,6.94
SUPERINTENDENT PUBLIC INST,MARCO AMARAL,,458,7621,6.01
SUPERINTENDENT PUBLIC INST,JOSEPH G CAMPBELL,,269,7621,3.53
SUPERVISOR 1ST DISTRICT,HILDA SOLIS,,538,904,59.51
SUPERVISOR 1ST DISTRICT,BRIAN SMITH,,119,904,13.16
SUPERVISOR 1ST DISTRICT,KEVIN DALTON,,117,904,12.94
SUPERVISOR 1ST DISTRICT,DAVID E ARGUDO,,87,904,9.62
SUPERVISOR 1ST DISTRICT,TAMMY SOLIS,,43,904,4.76
