council_district,race,candidate,party,votes,race_total,vote_share_pct
1ST,22ND STATE SENATE DIST,SUSAN RUBIO,DEM,894,1600,55.88
1ST,22ND STATE SENATE DIST,VINCENT TSAI,REP,450,1600,28.12
1ST,22ND STATE SENATE DIST,KIMO MATEO,REP,256,1600,16.0
1ST,31ST CONGRESS DIST,GRACE F NAPOLITANO,DEM,876,1626,53.87
1ST,31ST CONGRESS DIST,DANIEL B MARTINEZ,REP,678,1626,41.7
1ST,31ST CONGRESS DIST,ROCCO A DE LUCA,DEM,72,1626,4.43
1ST,41ST ASSEMBLY DIST,CHRIS HOLDEN,DEM,1021,1021,100.0
1ST,ATTORNEY GENERAL,ROB BONTA,DEM,820,1628,50.37
1ST,ATTORNEY GENERAL,NATHAN HOCHMAN,REP,334,1628,20.52
1ST,ATTORNEY GENERAL,ERIC EARLY,REP,296,1628,18.18
1ST,ATTORNEY GENERAL,ANNE M SCHUBERT,NP,137,1628,8.42
1ST,ATTORNEY GENERAL,DAN KAPELOVITZ,GRN,41,1628,2.52
1ST,GOVERNOR,GAVIN NEWSOM,DEM,875,1696,51.59
1ST,GOVERNOR,BRIAN DAHLE,REP,248,1696,14.62
1ST,GOVERNOR,JENNY RAE LE ROUX,REP,132,1696,7.78
1ST,GOVERNOR,M SHELLENBERGER,NP,119,1696,7.02
1ST,GOVERNOR,ANTHONY TRIMINO,REP,80,1696,4.72
1ST,GOVERNOR,DAVID LOZANO,REP,34,1696,2.0
1ST,GOVERNOR,MAJOR WILLIAMS,REP,34,1696,2.0
1ST,GOVERNOR,RONALD A ANDERSON,REP,28,1696,1.65
1ST,GOVERNOR,LUIS J RODRIGUEZ,GRN,26,1696,1.53
1ST,GOVERNOR,SHAWN COLLINS,REP,22,1696,1.3
1ST,GOVERNOR,LEO S ZACKY,REP,17,1696,1.0
1ST,GOVERNOR,ROBERT C NEWMAN II,REP,16,1696,0.94
1ST,GOVERNOR,DANIEL R MERCURI,REP,13,1696,0.77
1ST,GOVERNOR,JOEL VENTRESCA,DEM,13,1696,0.77
1ST,GOVERNOR,RON JONES,REP,8,1696,0.47
1ST,GOVERNOR,W W SANDERS III,NP,8,1696,0.47
1ST,GOVERNOR,A M PEREZ-SERRATO,DEM,5,1696,0.29
1ST,GOVERNOR,FREDERIC C SCHULTZ,NP,4,1696,0.24
1ST,GOVERNOR,REINETTE SENUM,NP,4,1696,0.24
1ST,GOVERNOR,CRISTIAN R MORALES,REP,3,1696,0.18
1ST,GOVERNOR,LONNIE SORTOR,REP,3,1696,0.18
1ST,GOVERNOR,HEATHER COLLINS,GRN,2,1696,0.12
1ST,GOVERNOR,ANTHONY FANARA,DEM,1,1696,0.06
1ST,GOVERNOR,BRADLEY ZINK,NP,1,1696,0.06
1ST,GOVERNOR,JAMES G HANINK,NP,0,1696,0.0
1ST,GOVERNOR,SERGE FIANKAN,NP,0,1696,0.0
1ST,LA VERNE CY GEN MUNI-CNC 1,STEVEN F JOHNSON,,877,1645,53.31
1ST,LA VERNE CY GEN MUNI-CNC 1,MUIR DAVIS,,768,1645,46.69
1ST,LIEUTENANT GOVERNOR,ELENI KOUNALAKIS,DEM,777,1620,47.96
1ST,LIEUTENANT GOVERNOR,A UNDERWOOD JACOBS,REP,385,1620,23.77
1ST,LIEUTENANT GOVERNOR,DAVID FENNELL,REP,209,1620,12.9
1ST,LIEUTENANT GOVERNOR,CLINT W SAUNDERS,REP,108,1620,6.67
1ST,LIEUTENANT GOVERNOR,WILLIAM C SAACKE,DEM,61,1620,3.77
1ST,LIEUTENANT GOVERNOR,MOHAMMAD ARIF,PF,37,1620,2.28
1ST,LIEUTENANT GOVERNOR,JEFFREY H MORGAN,DEM,34,1620,2.1
1ST,LIEUTENANT GOVERNOR,DAVID HILLBERG,NP,9,1620,0.56
1ST,SECRETARY OF STATE,SHIRLEY N WEBER,DEM,855,1596,53.57
1ST,SECRETARY OF STATE,ROB BERNOSKY,REP,337,1596,21.12
1ST,SECRETARY OF STATE,RACHEL HAMM,REP,245,1596,15.35
1ST,SECRETARY OF STATE,JAMES PAINE,REP,63,1596,3.95
1ST,SECRETARY OF STATE,GARY N BLENNER,GRN,49,1596,3.07
1ST,SECRETARY OF STATE,RAUL RODRIGUEZ JR,REP,35,1596,2.19
1ST,SECRETARY OF STATE,M D CINQUANTA,NP,12,1596,0.75
1ST,SUPERINTENDENT PUBLIC INST,TONY K THURMOND,,759,1498,50.67
1ST,SUPERINTENDENT PUBLIC INST,GEORGE YANG,,194,1498,12.95
1ST,SUPERINTENDENT PUBLIC INST,L R CHRISTENSEN,,185,1498,12.35
1ST,SUPERINTENDENT PUBLIC INST,JIM GIBSON,,129,1498,8.61
1ST,SUPERINTENDENT PUBLIC INST,AINYE E LONG,,102,1498,6.81
1ST,SUPERINTENDENT PUBLIC INST,MARCO AMARAL,,99,1498,6.61
1ST,SUPERINTENDENT PUBLIC INST,JOSEPH G CAMPBELL,,30,1498,2.0
1ST,SUPERVISOR 1ST DISTRICT,HILDA SOLIS,,180,300,60.0
1ST,SUPERVISOR 1ST DISTRICT,KEVIN DALTON,,42,300,14.0
1ST,SUPERVISOR 1ST DISTRICT,BRIAN SMITH,,34,300,11.33
1ST,SUPERVISOR 1ST DISTRICT,DAVID E ARGUDO,,30,300,10.0
